
2024/01/04 (13:54:08) | ===> btop++ v.1.2.13
2024/01/04 (13:54:08) | INFO: Logger set to DEBUG
2024/01/04 (13:54:08) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (13:54:08) | INFO: Running on /dev/pts/1
2024/01/04 (13:54:19) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2024/01/04 (13:54:20) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2024/01/04 (13:54:20) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/01/04 (13:54:21) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2024/01/04 (13:54:21) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/01/04 (13:54:21) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/04 (13:54:41) | ===> btop++ v.1.2.13
2024/01/04 (13:54:41) | INFO: Logger set to DEBUG
2024/01/04 (13:54:41) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (13:54:41) | INFO: Running on /dev/pts/1
2024/01/04 (13:54:41) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/04 (13:55:31) | ===> btop++ v.1.2.13
2024/01/04 (13:55:31) | INFO: Logger set to DEBUG
2024/01/04 (13:55:31) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (13:55:31) | INFO: Running on /dev/pts/1
2024/01/04 (13:55:31) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/04 (13:56:50) | ===> btop++ v.1.2.13
2024/01/04 (13:56:50) | INFO: Logger set to DEBUG
2024/01/04 (13:56:50) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (13:56:50) | INFO: Running on /dev/pts/1
2024/01/04 (13:56:50) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/04 (13:57:02) | ===> btop++ v.1.2.13
